Constituency_Num,Constituency_Name,Serial_Num,Candidate_Name,Party_Name,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percent,Total_Rounds,Current_Round,State,District,Constituency_Category,Coalition,Election_Year
204,Sattur,21,Vijendran. G,Independent,186,4,190,0.1,21,21,Tamil Nadu,Virudhunagar,General,,2026
204,Sattur,22,Venkatesan. M,Independent,122,1,123,0.06,21,21,Tamil Nadu,Virudhunagar,General,,2026
204,Sattur,23,Nota,None of the Above,461,15,476,0.24,21,21,Tamil Nadu,Virudhunagar,General,,2026
205,Sivakasi,1,Ashokan G,Indian National Congress,56596,443,57039,29.47,22,22,Tamil Nadu,Virudhunagar,General,SPA,2026
205,Sivakasi,2,Esther Mary Diana A,Naam Tamilar Katchi,10087,104,10191,5.27,22,22,Tamil Nadu,Virudhunagar,General,,2026
205,Sivakasi,3,Suresh K,Bahujan Samaj Party,229,0,229,0.12,22,22,Tamil Nadu,Virudhunagar,General,,2026
205,Sivakasi,4,Rajenthrabhalaji K T,All India Anna Dravida Munnetra Kazhagam,50595,483,51078,26.39,22,22,Tamil Nadu,Virudhunagar,General,NDA,2026
205,Sivakasi,5,Ganesan M,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1695,34,1729,0.89,22,22,Tamil Nadu,Virudhunagar,General,,2026
205,Sivakasi,6,Kanipandi M,Puthiya Tamilagam,2484,29,2513,1.3,22,22,Tamil Nadu,Virudhunagar,General,,2026
205,Sivakasi,7,Keerthana S,Tamilaga Vettri Kazhagam,68273,436,68709,35.51,22,22,Tamil Nadu,Virudhunagar,General,,2026
205,Sivakasi,8,Chinnadurai Alias Dimitro S,Communist Party of India (Marxist-Leninist) (Liberation),162,0,162,0.08,22,22,Tamil Nadu,Virudhunagar,General,,2026
205,Sivakasi,9,Ganesan S,Independent,102,0,102,0.05,22,22,Tamil Nadu,Virudhunagar,General,,2026
205,Sivakasi,10,Ganesan V,Independent,80,0,80,0.04,22,22,Tamil Nadu,Virudhunagar,General,,2026
205,Sivakasi,11,Nagalakshmi V,Independent,204,1,205,0.11,22,22,Tamil Nadu,Virudhunagar,General,,2026
205,Sivakasi,12,Murugan M,Independent,120,0,120,0.06,22,22,Tamil Nadu,Virudhunagar,General,,2026
205,Sivakasi,13,Ramesh P,Independent,210,3,213,0.11,22,22,Tamil Nadu,Virudhunagar,General,,2026
205,Sivakasi,14,Venkatesh V,Independent,195,4,199,0.1,22,22,Tamil Nadu,Virudhunagar,General,,2026
205,Sivakasi,15,Nota,None of the Above,933,15,948,0.49,22,22,Tamil Nadu,Virudhunagar,General,,2026
206,Virudhunagar,1,Ganesan V.G.,All India Anna Dravida Munnetra Kazhagam,33851,361,34212,20.38,23,23,Tamil Nadu,Virudhunagar,General,NDA,2026
206,Virudhunagar,2,Lakshmanan,Naam Tamilar Katchi,9938,182,10120,6.03,23,23,Tamil Nadu,Virudhunagar,General,,2026
206,Virudhunagar,3,Vijayaprabhakar,Desiya Murpokku Dravida Kazhagam,53689,573,54262,32.33,23,23,Tamil Nadu,Virudhunagar,General,SPA,2026
206,Virudhunagar,4,Selvam P,Tamilaga Vettri Kazhagam,63070,583,63653,37.93,23,23,Tamil Nadu,Virudhunagar,General,,2026
206,Virudhunagar,5,Balasubramaniam M,Puthiya Tamilagam,2166,51,2217,1.32,23,23,Tamil Nadu,Virudhunagar,General,,2026
206,Virudhunagar,6,Rathinaraja S,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi,145,3,148,0.09,23,23,Tamil Nadu,Virudhunagar,General,,2026
206,Virudhunagar,7,Vikraman N,Desa Makkal Munnetrak Kazhagam,115,3,118,0.07,23,23,Tamil Nadu,Virudhunagar,General,,2026
206,Virudhunagar,8,Amirtha Pandi M.V,Independent,121,1,122,0.07,23,23,Tamil Nadu,Virudhunagar,General,,2026
