constituency_no,constituency,serial_num,candidate_name,party,evmvotes,postalvotes,totalvotes,vote_percent,coalition
95,Kanti,6,Pranjal Prakalp,Kisan Suraj Dal,345,2,347,0.15,
95,Kanti,7,Lal Babu Roy,Socialist Unity Centre Of India (COMMUNIST),1194,3,1197,0.51,
95,Kanti,8,Birendra Kumar,Rashtriya Jansambhavna Party,588,1,589,0.25,
95,Kanti,9,Sudarshan Mishra,Jan Suraaj Party,4209,42,4251,1.83,
95,Kanti,10,Ajit Kumar,Independent,748,3,751,0.32,
95,Kanti,11,Md Jafrudin,Independent,532,0,532,0.23,
95,Kanti,12,Ranjit Kumar Jha Alias Pinaki Jha,Independent,1236,1,1237,0.53,
95,Kanti,13,Suresh Kumar Gupta,Independent,2888,1,2889,1.24,
95,Kanti,14,Nota,None of the Above,7819,4,7823,3.36,
96,Baruraj,1,Arun Kumar Singh,Bharatiya Janata Party,96663,216,96879,47.14,NDA
96,Baruraj,2,Nasima Khatoon,Bahujan Samaj Party,2940,4,2944,1.43,
96,Baruraj,3,Md. Anzar,Rashtriya Ulama Council,511,1,512,0.25,
96,Baruraj,4,Madhav Bhakta,Socialist Unity Centre Of India (COMMUNIST),628,5,633,0.31,
96,Baruraj,5,Rakesh Kumar,Vikassheel Insaan Party,67629,198,67827,33,MGB
96,Baruraj,6,Vidhyalal Sahani,Lok Chetna Dal,2032,3,2035,0.99,
96,Baruraj,7,Sanjay Kumar Paswan,Rashtriya Lok Janshakti Party,1578,0,1578,0.77,GDA
96,Baruraj,8,Hiralal Kharia,Jan Suraaj Party,19898,37,19935,9.7,
96,Baruraj,9,Awadhesh Kumar Gupta,Independent,4854,3,4857,2.36,
96,Baruraj,10,Rajesh Kumar,Independent,704,0,704,0.34,
96,Baruraj,11,Rajesh Kumar Sah,Independent,997,0,997,0.49,
96,Baruraj,12,Santosh Kumar,Independent,1682,0,1682,0.82,
96,Baruraj,13,Nota,None of the Above,4924,2,4926,2.4,
97,Paroo,1,Vijay Kumar,Bahujan Samaj Party,4492,17,4509,1.98,
97,Paroo,2,Shankar Prasad,Rashtriya Janata Dal,94884,388,95272,41.76,MGB
97,Paroo,3,Nanhak Sah,Socialist Unity Centre Of India (COMMUNIST),1646,7,1653,0.72,
97,Paroo,4,Madan Chaudhary,Rashtriya Lok Morcha,66283,162,66445,29.12,NDA
97,Paroo,5,Ranjana Kumari,Jan Suraaj Party,6771,54,6825,2.99,
97,Paroo,6,Ashok Kumar Singh,Independent,40462,199,40661,17.82,
97,Paroo,7,Ashutosh Kumar,Independent,2247,1,2248,0.99,
97,Paroo,8,Niraj Kumar,Independent,2300,1,2301,1.01,
97,Paroo,9,Manish Kumar Singh,Independent,2854,2,2856,1.25,
97,Paroo,10,Vijay Thakur,Independent,2691,1,2692,1.18,
97,Paroo,11,Nota,None of the Above,2699,2,2701,1.18,
98,Sahebganj,1,Prithwinath Ray,Rashtriya Janata Dal,92473,327,92800,42.27,MGB
98,Sahebganj,2,Binda Mahato,Bahujan Samaj Party,2533,8,2541,1.16,
98,Sahebganj,3,Raju Kumar Singh,Bharatiya Janata Party,106077,245,106322,48.43,NDA
98,Sahebganj,4,Thakur Hari Kishore Singh,Jan Suraaj Party,4179,18,4197,1.91,
98,Sahebganj,5,Sukhari Das,Socialist Unity Centre Of India (COMMUNIST),419,1,420,0.19,
98,Sahebganj,6,Jai Prakash Kumar,Independent,183,0,183,0.08,
98,Sahebganj,7,Mukesh Kumar Singh,Independent,844,5,849,0.39,
98,Sahebganj,8,Motiur Rahman,Independent,356,1,357,0.16,
98,Sahebganj,9,Yogendra Kumar Yadav,Independent,373,0,373,0.17,
98,Sahebganj,10,Ranjeet Kumar,Independent,449,2,451,0.21,
98,Sahebganj,11,Rajan Kumar,Independent,975,1,976,0.44,
98,Sahebganj,12,Vikky Kumar,Independent,4187,0,4187,1.91,
98,Sahebganj,13,Shambhu Sah,Independent,1158,0,1158,0.53,
98,Sahebganj,14,Nota,None of the Above,4731,5,4736,2.16,
99,Baikunthpur,1,Pradeep Kumar,Bahujan Samaj Party,4116,26,4142,1.95,
99,Baikunthpur,2,Prem Shankar Prasad,Rashtriya Janata Dal,86590,590,87180,41.07,MGB
99,Baikunthpur,3,Mithilesh Tiwari,Bharatiya Janata Party,103801,332,104133,49.05,NDA
99,Baikunthpur,4,Ajay Prasad,Jan Suraaj Party,7305,30,7335,3.46,
99,Baikunthpur,5,Mohan Mahato,Rashtriya Jansambhavna Party,1571,3,1574,0.74,
99,Baikunthpur,6,Ram Narayan Singh,Rashtrawadi Janlok Party (Satya),3489,8,3497,1.65,
99,Baikunthpur,7,Raj Kishor Singh,Independent,2405,3,2408,1.13,
99,Baikunthpur,8,Nota,None of the Above,2011,7,2018,0.95,
100,Barauli,1,Dilip Kumar Singh,Rashtriya Janata Dal,75917,366,76283,39.29,MGB
100,Barauli,2,Manjeet Kumar Singh,Janata Dal (United),88339,318,88657,45.66,NDA
100,Barauli,3,Reyazul Haque Urf Raju,Bahujan Samaj Party,13335,62,13397,6.9,
100,Barauli,4,Faiz Ahmad,Jan Suraaj Party,2884,27,2911,1.5,
100,Barauli,5,Rudal Mahato,Rashtriya Jansambhavna Party,571,3,574,0.3,
100,Barauli,6,Krishna Shah,Independent,649,1,650,0.33,
100,Barauli,7,Manju Kumari,Independent,690,1,691,0.36,
100,Barauli,8,Sita Devi,Independent,2197,7,2204,1.14,
100,Barauli,9,Sonu Kumar,Independent,4804,0,4804,2.47,
100,Barauli,10,Nota,None of the Above,4001,5,4006,2.06,
101,Gopalganj,1,Indira Yadav,Bahujan Samaj Party,7924,155,8079,4.06,
101,Gopalganj,2,Om Prakash Garg,Indian National Congress,67546,374,67920,34.15,MGB
101,Gopalganj,3,Brij Kishor Gupta,Aam Aadmi Party,1569,4,1573,0.79,
101,Gopalganj,4,Subhash Singh,Bharatiya Janata Party,96353,539,96892,48.72,NDA
101,Gopalganj,5,Anash Salam,All India Majlis-E-Ittehadul Muslimeen,14162,63,14225,7.15,
101,Gopalganj,6,Sahana Khatoon,Samata Party,1805,1,1806,0.91,
101,Gopalganj,7,Md. Hayatullah,Bhartiya Insan Party,1022,2,1024,0.51,
101,Gopalganj,8,Anup Kumar Shrivastava,Independent,5074,42,5116,2.57,
101,Gopalganj,9,Nota,None of the Above,2229,8,2237,1.12,
102,Kuchaikote,1,Amrendra Kumar Pandey,Janata Dal (United),100926,499,101425,50.21,NDA
102,Kuchaikote,2,Baliram Singh,Bahujan Samaj Party,5509,33,5542,2.74,
102,Kuchaikote,3,Hari Narayan Singh,Indian National Congress,76561,373,76934,38.08,MGB
102,Kuchaikote,4,Braj Bihari Bhatt,Janshakti Janta Dal,2023,2,2025,1,
102,Kuchaikote,5,Vijay Kumar Choubey,Jan Suraaj Party,6012,65,6077,3.01,
102,Kuchaikote,6,Vishwakarma Sharma,Jagrook Janta Party,2645,1,2646,1.31,
102,Kuchaikote,7,Pankaj Pandey,Independent,1584,4,1588,0.79,
102,Kuchaikote,8,Nota,None of the Above,5776,7,5783,2.86,
103,Bhorey,1,Dhananjay,Communist Party of India (Marxist-Leninist) (Liberation),84836,470,85306,40.03,
103,Bhorey,2,Dharmendra Kumar Ram,Aam Aadmi Party,4084,11,4095,1.92,
103,Bhorey,3,Sunil Kumar,Janata Dal (United),100856,613,101469,47.61,NDA
103,Bhorey,4,Surendra Kumar Ram,Bahujan Samaj Party,6105,27,6132,2.88,
103,Bhorey,5,Priti Kinar,Jan Suraaj Party,8536,66,8602,4.04,
103,Bhorey,6,Nota,None of the Above,7511,6,7517,3.53,
104,Hathua,1,Indrajit Gupt Jyotishkar,Aam Aadmi Party,3114,3,3117,1.59,
104,Hathua,2,Rajesh Kumar Singh,Rashtriya Janata Dal,79450,323,79773,40.69,MGB
104,Hathua,3,Ramsewak Singh,Janata Dal (United),91842,279,92121,46.99,NDA
104,Hathua,4,Shabanm Khatun,Bahujan Samaj Party,3776,13,3789,1.93,
104,Hathua,5,Kalindra Kumar Ray,Rashtriya Sab Janshakti Party,760,1,761,0.39,
104,Hathua,6,Laxman Bhar,Suheldev Bharatiya Samaj Party,1175,1,1176,0.6,
104,Hathua,7,Sanjay Kumar Suman,Jan Suraaj Party,5052,37,5089,2.6,
104,Hathua,8,Surendra Ram,Bhartiya Rashtriya Dal,1043,1,1044,0.53,
104,Hathua,9,Nauraj Sah,Independent,3639,1,3640,1.86,
104,Hathua,10,Surendra Gupta,Independent,2452,2,2454,1.25,
104,Hathua,11,Nota,None of the Above,3092,2,3094,1.58,
105,Siwan,1,Awadh Bihari Choudhary,Rashtriya Janata Dal,82847,162,83009,43.56,MGB
105,Siwan,2,Mangal Pandey,Bharatiya Janata Party,92233,146,92379,48.47,NDA
105,Siwan,3,Sunita Devi,Bahujan Samaj Party,2174,9,2183,1.15,
105,Siwan,4,Intekhab Ahmad,Jan Suraaj Party,2524,19,2543,1.33,
105,Siwan,5,Kumar Gauraw Bunty,Rashtrawadi Janlok Party (Satya),240,0,240,0.13,
105,Siwan,6,Mohammad Kaifi Samshir,All India Majlis-E-Ittehadul Muslimeen,3491,2,3493,1.83,
105,Siwan,7,Rakesh Sharma,Jagrook Janta Party,221,1,222,0.12,
105,Siwan,8,Md Arif,Independent,298,0,298,0.16,
105,Siwan,9,Dewa Kant Mishra Alias Munna Bhaiya,Independent,205,0,205,0.11,
105,Siwan,10,Vimal Prasad,Independent,226,1,227,0.12,
105,Siwan,11,Satyendra Kumar Kushwaha,Independent,441,4,445,0.23,
105,Siwan,12,Saroj Kumari,Independent,636,0,636,0.33,
105,Siwan,13,Sushil Kumar,Independent,1998,0,1998,1.05,
105,Siwan,14,Nota,None of the Above,2702,2,2704,1.42,
106,Ziradei,1,Amarjeet Kushwaha,Communist Party of India (Marxist-Leninist) (Liberation),63498,103,63601,40.27,
106,Ziradei,2,Pramod Kumar Mall,Bahujan Samaj Party,5090,12,5102,3.23,
106,Ziradei,3,Bhism Pratap Singh,Janata Dal (United),66137,90,66227,41.94,NDA
106,Ziradei,4,Jaglal Rajbhar,Suheldev Bharatiya Samaj Party,2386,4,2390,1.51,
106,Ziradei,5,Parmanand Prasad,Swatantra Samaj Party,807,0,807,0.51,
106,Ziradei,6,Munna Pandey,Jan Suraaj Party,10090,35,10125,6.41,
106,Ziradei,7,Ajay Kumar Prajapati,Independent,783,0,783,0.5,
106,Ziradei,8,Prabunath Thakur,Independent,1039,0,1039,0.66,
106,Ziradei,9,Raghwendra Kumar Kharwar,Independent,2262,1,2263,1.43,
106,Ziradei,10,Vivek Shukla,Independent,882,0,882,0.56,
106,Ziradei,11,Nota,None of the Above,4704,3,4707,2.98,
107,Darauli,1,Vishnu Deo Paswan,Lok Janshakti Party (Ram Vilas),82804,210,83014,47.38,NDA
107,Darauli,2,Satyadeo Ram,Communist Party of India (Marxist-Leninist) (Liberation),73284,158,73442,41.92,
107,Darauli,3,Harilal Ram,Bahujan Samaj Party,3190,18,3208,1.83,
107,Darauli,4,Ganesh Ram,Jan Suraaj Party,4593,37,4630,2.64,
107,Darauli,5,Manoj Ram,Suheldev Bharatiya Samaj Party,3903,5,3908,2.23,
107,Darauli,6,Pradeep Manjhi,Independent,2459,6,2465,1.41,
107,Darauli,7,Nota,None of the Above,4535,11,4546,2.59,
108,Raghunathpur,1,Osama Shahab,Rashtriya Janata Dal,88123,155,88278,48.81,MGB
108,Raghunathpur,2,Vikash Kumar Singh,Janata Dal (United),78872,158,79030,43.69,NDA
108,Raghunathpur,3,Kumar Santosh,Suheldev Bharatiya Samaj Party,2195,0,2195,1.21,
108,Raghunathpur,4,Pashupati Nath Chaturvedi,Janshakti Janta Dal,991,5,996,0.55,
108,Raghunathpur,5,Rahul Kirti,Jan Suraaj Party,3042,29,3071,1.7,
108,Raghunathpur,6,Anita Kumari,Independent,914,3,917,0.51,
108,Raghunathpur,7,Upendra Singh,Independent,2906,3,2909,1.61,
108,Raghunathpur,8,Nota,None of the Above,3471,7,3478,1.92,
109,Daraunda,1,Amarnath Yadav,Communist Party of India (Marxist-Leninist) (Liberation),68552,128,68680,37.1,
109,Daraunda,2,Karnjeet Singh Alias Vyas Singh,Bharatiya Janata Party,86880,167,87047,47.02,NDA
109,Daraunda,3,Madhusudan Singh,Bahujan Samaj Party,2241,9,2250,1.22,
109,Daraunda,4,Brijabihari Ray,Suheldev Bharatiya Samaj Party,1168,0,1168,0.63,
109,Daraunda,5,Satyandra Yadav,Jan Suraaj Party,6690,41,6731,3.64,
109,Daraunda,6,Gudiya Devi,Independent,11113,20,11133,6.01,
109,Daraunda,7,Balendra Kumar Ray,Independent,2976,0,2976,1.61,
109,Daraunda,8,Nota,None of the Above,5146,5,5151,2.78,
110,Barharia,1,Arun Kumar Gupta,Rashtriya Janata Dal,81340,124,81464,41.35,MGB
110,Barharia,2,Indradev Singh,Janata Dal (United),93481,119,93600,47.51,NDA
110,Barharia,3,Jitendra Yadav,Aam Aadmi Party,2170,5,2175,1.1,
110,Barharia,4,Vijay Kumar Yadaw,Bahujan Samaj Party,1290,1,1291,0.66,
110,Barharia,5,Radheshyam Sharma,Jagrook Janta Party,410,2,412,0.21,
110,Barharia,6,Shekh Shahnawaz Alam,Jan Suraaj Party,3735,15,3750,1.9,
110,Barharia,7,Deepak Kumar,Independent,383,1,384,0.19,
110,Barharia,8,Ramdas Tiwari,Independent,918,0,918,0.47,
110,Barharia,9,Rahul Kumar,Independent,1148,0,1148,0.58,
110,Barharia,10,Shyam Bahadur Singh,Independent,4678,14,4692,2.38,
110,Barharia,11,Hareram Singh,Independent,3229,0,3229,1.64,
110,Barharia,12,Nota,None of the Above,3930,2,3932,2,
111,Goriakothi,1,Anwarul Haque,Rashtriya Janata Dal,93431,93,93524,43.84,MGB
111,Goriakothi,2,Devesh Kant Singh,Bharatiya Janata Party,105799,110,105909,49.64,NDA
111,Goriakothi,3,Ravi Bhushan Gupta,Aam Aadmi Party,1378,1,1379,0.65,
111,Goriakothi,4,Umashankar Tiwari,Bhartiya Lok Chetna Party,313,0,313,0.15,
111,Goriakothi,5,Ejaz Ahmad Siddique,Jan Suraaj Party,3262,19,3281,1.54,
111,Goriakothi,6,Tribhuwan Ram,Peoples Party of India (Democratic),459,1,460,0.22,
111,Goriakothi,7,Dilip Manjhi,Janshakti Vikas Party (Democratic),534,0,534,0.25,
111,Goriakothi,8,Dhruvnath Singh,Rashtriya Jansambhavna Party,648,0,648,0.3,
111,Goriakothi,9,Ramayan Singh,All India Forward Bloc,843,2,845,0.4,
111,Goriakothi,10,Ashok Kumar Varma,Independent,2797,0,2797,1.31,
111,Goriakothi,11,Nota,None of the Above,3649,6,3655,1.71,
112,Maharajganj,1,Ravi Ranjan Tisu,Bahujan Samaj Party,2174,2,2176,1.16,
112,Maharajganj,2,Vishal Kumar Jaiswal,Rashtriya Janata Dal,65604,110,65714,34.99,MGB
112,Maharajganj,3,Hem Narayan Sah,Janata Dal (United),86674,139,86813,46.22,NDA
112,Maharajganj,4,Nayan Prasad,Bharat Ka Kisan Majdoor Party,1658,1,1659,0.88,
112,Maharajganj,5,Madan Yadav,Aazad Samaj Party (Kanshi Ram),2370,3,2373,1.26,GDA
112,Maharajganj,6,Dr. Vikas Kumar Singh,Political Team India,2129,0,2129,1.13,
112,Maharajganj,7,Sunil Ray,Jan Suraaj Party,8116,49,8165,4.35,
112,Maharajganj,8,Angad Kumar,Independent,706,0,706,0.38,
112,Maharajganj,9,Ashish Ranjan Singh,Independent,885,1,886,0.47,
112,Maharajganj,10,Nitish Kumar Diwedi,Independent,6242,12,6254,3.33,
112,Maharajganj,11,Ravindra Kumar,Independent,4358,0,4358,2.32,
112,Maharajganj,12,Raj Kishor Gupta,Independent,2902,0,2902,1.55,
112,Maharajganj,13,Nota,None of the Above,3674,1,3675,1.96,
113,Ekma,1,Manoranjan Singh,Janata Dal (United),83844,233,84077,49.16,NDA
113,Ekma,2,Lakshman Manjhi,Bahujan Samaj Party,2977,15,2992,1.75,
113,Ekma,3,Srikant Yadav,Rashtriya Janata Dal,61161,208,61369,35.88,MGB
113,Ekma,4,Umesh Kumar Rajbhar,Suheldev Bharatiya Samaj Party,1378,0,1378,0.81,
113,Ekma,5,Jawahir Prasad,Apna Kisan Party,993,2,995,0.58,
113,Ekma,6,Deo Kumar Singh,Jan Suraaj Party,7583,59,7642,4.47,
113,Ekma,7,Abhijeet Abhigyan,Independent,1049,7,1056,0.62,
113,Ekma,8,Jitendra Kumar Kannauj,Independent,1257,0,1257,0.73,
113,Ekma,9,Rakesh Kumar Singh,Independent,2460,0,2460,1.44,
113,Ekma,10,Shankar Sharma,Independent,1600,0,1600,0.94,
113,Ekma,11,Nota,None of the Above,6216,1,6217,3.63,
114,Manjhi,1,Randhir Kumar Singh,Janata Dal (United),68116,339,68455,38.53,NDA
114,Manjhi,2,Sanotsh Prasad,Bahujan Samaj Party,1995,17,2012,1.13,
114,Manjhi,3,Dr. Satyendra Yadav,Communist Party of India (Marxist),58405,263,58668,33.02,MGB
114,Manjhi,4,Y.V.Giri,Jan Suraaj Party,9212,94,9306,5.24,
114,Manjhi,5,Dharmendra Kumar Sharma,Jagrook Janta Party,916,9,925,0.52,
114,Manjhi,6,Nasim Ahamad,Aazad Samaj Party (Kanshi Ram),3385,15,3400,1.91,GDA
114,Manjhi,7,Pratibha Devi,Suheldev Bharatiya Samaj Party,1356,6,1362,0.77,
114,Manjhi,8,Ashok Sharma,Independent,694,3,697,0.39,
114,Manjhi,9,Om Prakash Prasad,Independent,3079,8,3087,1.74,
114,Manjhi,10,Rana Pratap Singh,Independent,19061,78,19139,10.77,
114,Manjhi,11,Sanju Yadav,Independent,3104,3,3107,1.75,
114,Manjhi,12,Suresh Kumar Ram,Independent,1403,2,1405,0.79,
114,Manjhi,13,Nota,None of the Above,6106,7,6113,3.44,
115,Baniapur,1,Kedar Nath Singh,Bharatiya Janata Party,95343,263,95606,47.7,NDA
115,Baniapur,2,Chandni Devi,Rashtriya Janata Dal,79854,316,80170,40,MGB
115,Baniapur,3,Byas Manjhi,Bahujan Samaj Party,1800,6,1806,0.9,
115,Baniapur,4,Pushpa Kumari,Janshakti Janta Dal,1120,15,1135,0.57,
115,Baniapur,5,Shravan Kumar,Jan Suraaj Party,8574,64,8638,4.31,
115,Baniapur,6,Ravi Prakash,Independent,2843,7,2850,1.42,
115,Baniapur,7,Rajesh Kumar Singh,Independent,1505,1,1506,0.75,
115,Baniapur,8,Shyam Kumar Singh,Independent,3831,0,3831,1.91,
115,Baniapur,9,Nota,None of the Above,4870,6,4876,2.43,
116,Taraiya,1,Amit Kumar Singh,Aam Aadmi Party,1846,5,1851,0.96,
116,Taraiya,2,Janak Singh,Bharatiya Janata Party,85401,163,85564,44.21,NDA
116,Taraiya,3,Braj Bihari Singh,Bahujan Samaj Party,1870,5,1875,0.97,
116,Taraiya,4,Shailendra Pratap,Rashtriya Janata Dal,84070,165,84235,43.52,MGB
116,Taraiya,5,Ahmad Hussain Ansari,Peace Party,1016,2,1018,0.53,
116,Taraiya,6,Bhagwan Prasad Gupta,Vanchit Adhikar Party,976,2,978,0.51,
116,Taraiya,7,Ram Viswas Rai,Bhartiya Sarthak Party,296,3,299,0.15,
116,Taraiya,8,Vivek Kumar,Janshakti Janta Dal,680,1,681,0.35,
116,Taraiya,9,Sanjay Kumar,Peoples Party of India (Democratic),879,0,879,0.45,
116,Taraiya,10,Satyendra Ku Sahni,Jan Suraaj Party,5065,21,5086,2.63,
116,Taraiya,11,Mithilesh Kumar,Independent,2654,9,2663,1.38,
116,Taraiya,12,Mumtaj Ansari,Independent,2746,2,2748,1.42,
116,Taraiya,13,Lalu Prasad Yadav,Independent,1315,1,1316,0.68,
116,Taraiya,14,Vijesh Ray,Independent,2621,0,2621,1.35,
116,Taraiya,15,Nota,None of the Above,1718,6,1724,0.89,
117,Marhaura,1,Jitendra Kumar Rai,Rashtriya Janata Dal,85764,354,86118,47.97,MGB
117,Marhaura,2,Naveen Kumar Singh Uraf Abhay Singh,Jan Suraaj Party,58016,174,58190,32.42,
117,Marhaura,3,Purushottam Kumar,Rashtriya Sab Janshakti Party,2330,8,2338,1.3,
117,Marhaura,4,Madhubala Giri,The Plurals Party,1566,11,1577,0.88,
117,Marhaura,5,Lalu Prasad Yadav,Rashtriya Jansambhavna Party,2816,4,2820,1.57,
117,Marhaura,6,Ankit Kumar,Independent,17299,11,17310,9.64,
117,Marhaura,7,Abhishek Ranjan,Independent,1505,1,1506,0.84,
117,Marhaura,8,Manegar Ray,Independent,1357,0,1357,0.76,
117,Marhaura,9,Sandev Kumar Ray,Independent,3483,0,3483,1.94,
117,Marhaura,10,Nota,None of the Above,4799,10,4809,2.68,
118,Chapra,1,Chhoti Kumari,Bharatiya Janata Party,86561,284,86845,45.86,NDA
118,Chapra,2,Shatrughan Yadav,Rashtriya Janata Dal,78897,348,79245,41.84,MGB
118,Chapra,3,Jai Prakash Singh,Jan Suraaj Party,3377,56,3433,1.81,
118,Chapra,4,Gyani Kumar Sharma,Bharatiya Ekta Dal,277,2,279,0.15,
118,Chapra,5,Rajesh Kushwaha,Bhartiya Lok Chetna Party,333,4,337,0.18,
118,Chapra,6,Shak Naushad,Aazad Samaj Party (Kanshi Ram),2081,12,2093,1.11,GDA
118,Chapra,7,Padma Mishra,Independent,539,3,542,0.29,
118,Chapra,8,Md Sultan Hussen Idrishi,Independent,391,4,395,0.21,
118,Chapra,9,Rakhi Gupta,Independent,11358,130,11488,6.07,
118,Chapra,10,Rana Yashwant Pratap Singh,Independent,2024,2,2026,1.07,
118,Chapra,11,Nota,None of the Above,2704,2,2706,1.43,
119,Garkha,1,Avinash Kumar,Bahujan Samaj Party,3264,14,3278,1.61,
119,Garkha,2,Vigan Manjhi,Rashtriya Lok Janshakti Party,1650,10,1660,0.82,GDA
119,Garkha,3,Sadan Kumar,Aam Aadmi Party,1006,4,1010,0.5,
119,Garkha,4,Simant Mrinal,Lok Janshakti Party (Ram Vilas),78136,194,78330,38.49,NDA
119,Garkha,5,Surendra Ram,Rashtriya Janata Dal,90831,303,91134,44.78,MGB
119,Garkha,6,Nagendra Ram,Republican Party of India (A),1424,4,1428,0.7,
119,Garkha,7,Manohar Kumar Ram,Jan Suraaj Party,5255,59,5314,2.61,
119,Garkha,8,Nand Kishor Manjhi,Independent,805,1,806,0.4,
119,Garkha,9,Neeraj Ram,Independent,1284,3,1287,0.63,
119,Garkha,10,Muneshwar Chaudhary,Independent,9392,61,9453,4.65,
119,Garkha,11,Raghunandan Manjhi,Independent,2768,6,2774,1.36,
119,Garkha,12,Rajkumar,Independent,2678,0,2678,1.32,
119,Garkha,13,Sabita Devi,Independent,1724,4,1728,0.85,
119,Garkha,14,Nota,None of the Above,2606,11,2617,1.29,
120,Amnour,1,Krishan Kumar Mantoo,Bharatiya Janata Party,75298,227,75525,44.52,NDA
120,Amnour,2,Puja Kumari,Bahujan Samaj Party,5675,20,5695,3.36,
120,Amnour,3,Sunil Kumar,Rashtriya Janata Dal,71475,242,71717,42.27,MGB
120,Amnour,4,Ali Abbas,Bharatiya Momin Front,1059,3,1062,0.63,
120,Amnour,5,Krishna Mishra,The Plurals Party,300,1,301,0.18,
120,Amnour,6,Jay Prakash Kumar Singh,Socialist Party (India),403,2,405,0.24,
120,Amnour,7,Rakesh Kumar,Bharatiya Ekta Dal,648,1,649,0.38,
120,Amnour,8,Rahul Kumar Singh,Jan Suraaj Party,5981,50,6031,3.55,
120,Amnour,9,Arjun Kumar Nirala,Independent,528,3,531,0.31,
120,Amnour,10,Ramlal Manjhi,Independent,660,0,660,0.39,
120,Amnour,11,Lakshman Yadav,Independent,2261,1,2262,1.33,
120,Amnour,12,Sujeet Priydarshi,Independent,1073,1,1074,0.63,
120,Amnour,13,Nota,None of the Above,3745,4,3749,2.21,
121,Parsa,1,Karishma,Rashtriya Janata Dal,88807,286,89093,49.16,MGB
121,Parsa,2,Chhote Lal Rai,Janata Dal (United),63087,234,63321,34.94,NDA
121,Parsa,3,Pawan Tiwari,Aam Aadmi Party,1976,1,1977,1.09,
121,Parsa,4,Md Samim Ansari,Bahujan Samaj Party,2520,20,2540,1.4,
121,Parsa,5,Javahir Singh,Insaniyat Party,1569,0,1569,0.87,
121,Parsa,6,Bipin Kr Singh,Nationalist Congress Party,846,5,851,0.47,
121,Parsa,7,Madan Mohan Srivastava,"Proutist Bloc, India",924,0,924,0.51,
121,Parsa,8,Mosaheb Mahto,Jan Suraaj Party,10076,50,10126,5.59,
121,Parsa,9,Shyam Babu Ray,Bhartiya Lok Chetna Party,593,1,594,0.33,
121,Parsa,10,Muneshwar Prasad Gupta,Independent,919,2,921,0.51,
121,Parsa,11,Ramaishwar Prasad Ray,Independent,1430,1,1431,0.79,
121,Parsa,12,Shriniwas Sah,Independent,3208,3,3211,1.77,
121,Parsa,13,Nota,None of the Above,4674,3,4677,2.58,
122,Sonepur,1,Ajay Kumar,Samata Party,1156,2,1158,0.58,
122,Sonepur,2,Chandan Lal Mehta,Jan Suraaj Party,11888,89,11977,6.01,
122,Sonepur,3,Dr. Ramanuj Prasad,Rashtriya Janata Dal,85861,214,86075,43.2,MGB
122,Sonepur,4,Vinay Kumar Singh,Bharatiya Janata Party,90591,251,90842,45.59,NDA
122,Sonepur,5,Dharamveer Kumar,Nationalist Congress Party,471,0,471,0.24,
122,Sonepur,6,Surendra Prasad Yadav,Janshakti Janta Dal,1235,0,1235,0.62,
122,Sonepur,7,Ramesh Kumar,Independent,3155,1,3156,1.58,
122,Sonepur,8,Rohit Roy,Independent,1720,0,1720,0.86,
122,Sonepur,9,Nota,None of the Above,2602,4,2606,1.31,
123,Hajipur,1,Abhishek Kumar,Bahujan Samaj Party,1540,5,1545,0.69,
123,Hajipur,2,Awadhesh Singh,Bharatiya Janata Party,112565,656,113221,50.27,NDA
123,Hajipur,3,Ghanshyam Kumar Daha,Rashtriya Lok Janshakti Party,1602,2,1604,0.71,GDA
123,Hajipur,4,Deo Kumar Chaurasia,Rashtriya Janata Dal,93857,855,94712,42.05,MGB
123,Hajipur,5,Raj Kumar Paswan,Aam Aadmi Party,637,7,644,0.29,
123,Hajipur,6,Indradeo Roy,Socialist Unity Centre Of India (COMMUNIST),254,0,254,0.11,
123,Hajipur,7,Dheeraj Kumar Roy,Yuva Devlop Party,419,5,424,0.19,
123,Hajipur,8,Pratibha Sinha,Jan Suraaj Party,4605,96,4701,2.09,
123,Hajipur,9,Raj Kumar Singh,Bhartiya Lok Chetna Party,823,8,831,0.37,
123,Hajipur,10,Nishant Gandhi,Independent,1836,15,1851,0.82,
123,Hajipur,11,Ramesh Kumar Singh,Independent,845,3,848,0.38,
123,Hajipur,12,Sunil Roy,Independent,2225,1,2226,0.99,
123,Hajipur,13,Nota,None of the Above,2370,11,2381,1.06,
124,Lalganj,1,Rajendra Prasad Singh,Aam Aadmi Party,1675,4,1679,0.7,
124,Lalganj,2,Shivani Shukla,Rashtriya Janata Dal,94807,676,95483,39.75,MGB
124,Lalganj,3,Sanjay Kumar Singh,Bharatiya Janata Party,127193,457,127650,53.14,NDA
124,Lalganj,4,Amar Kumar Singh,Jan Suraaj Party,4151,64,4215,1.75,
124,Lalganj,5,Md. Niyaj Alam,Lok Shakti Party (Loktantrik),603,8,611,0.25,
124,Lalganj,6,Rajendra Sharma,Socialist Unity Centre Of India (COMMUNIST),370,3,373,0.16,
124,Lalganj,7,Akhilesh Kumar,Independent,459,2,461,0.19,
124,Lalganj,8,Abhishek Kumar Singh,Independent,968,2,970,0.4,
124,Lalganj,9,Dhirendra Kumar Mahto,Independent,4434,7,4441,1.85,
124,Lalganj,10,Vidya Prakash,Independent,2143,5,2148,0.89,
124,Lalganj,11,Nota,None of the Above,2162,12,2174,0.91,
