State,District,Constituency_Num,Constituency_Name,Constituency_Category
West Bengal,Hooghly,190,Chunchura,General
West Bengal,Hooghly,191,Balagarh,SC
West Bengal,Hooghly,192,Pandua,General
West Bengal,Hooghly,193,Saptagram,General
West Bengal,Hooghly,194,Chanditala,General
West Bengal,Hooghly,195,Jangipara,General
West Bengal,Hooghly,196,Haripal,General
West Bengal,Hooghly,197,Dhanekhali,SC
West Bengal,Hooghly,198,Tarakeswar,General
West Bengal,Hooghly,199,Pursurah,General
West Bengal,Hooghly,200,Arambag,SC
West Bengal,Hooghly,201,Goghat,SC
West Bengal,Hooghly,202,Khanakul,General
West Bengal,Purba Medinipur,203,Tamluk,General
West Bengal,Purba Medinipur,204,Panskura Purba,General
West Bengal,Purba Medinipur,205,Panskura Paschim,General
West Bengal,Purba Medinipur,206,Moyna,General
West Bengal,Purba Medinipur,207,Nandakumar,General
West Bengal,Purba Medinipur,208,Mahisadal,General
West Bengal,Purba Medinipur,209,Haldia,SC
West Bengal,Purba Medinipur,210,Nandigram,General
West Bengal,Purba Medinipur,211,Chandipur,General
West Bengal,Purba Medinipur,212,Patashpur,General
West Bengal,Purba Medinipur,213,Kanthi Uttar,General
West Bengal,Purba Medinipur,214,Bhagabanpur,General
West Bengal,Purba Medinipur,215,Khejuri,SC
West Bengal,Purba Medinipur,216,Kanthi Dakshin,General
West Bengal,Purba Medinipur,217,"Ramnagar, Purba Medinipur",General
West Bengal,Purba Medinipur,218,Egra,General
West Bengal,Paschim Medinipur,219,Dantan,General
West Bengal,Jhargram,220,Nayagram,ST
West Bengal,Jhargram,221,Gopiballavpur,General
West Bengal,Jhargram,222,Jhargram,General
West Bengal,Paschim Medinipur,223,Keshiary,ST
West Bengal,Paschim Medinipur,224,Kharagpur Sadar,General
West Bengal,Paschim Medinipur,225,Narayangarh,General
West Bengal,Paschim Medinipur,226,Sabang,General
West Bengal,Paschim Medinipur,227,Pingla,General
West Bengal,Paschim Medinipur,228,Kharagpur,General
West Bengal,Paschim Medinipur,229,Debra,General
West Bengal,Paschim Medinipur,230,Daspur,General
West Bengal,Paschim Medinipur,231,Ghatal,SC
West Bengal,Paschim Medinipur,232,Chandrakona,SC
West Bengal,Paschim Medinipur,233,Garbeta,General
West Bengal,Paschim Medinipur,234,Salboni,General
West Bengal,Paschim Medinipur,235,Keshpur,SC
West Bengal,Paschim Medinipur,236,Medinipur,General
West Bengal,Jhargram,237,Binpur,ST
West Bengal,Purulia,238,Bandwan,ST
West Bengal,Purulia,239,Balarampur,General
West Bengal,Purulia,240,Baghmundi,General
West Bengal,Purulia,241,Joypur,General
West Bengal,Purulia,242,Purulia,General
West Bengal,Purulia,243,Manbazar,ST
West Bengal,Purulia,244,Kashipur,General
West Bengal,Purulia,245,Para,SC
West Bengal,Purulia,246,Raghunathpur,General
West Bengal,Bankura,247,Saltora,SC
West Bengal,Bankura,248,Chhatna,General
West Bengal,Bankura,249,Ranibandh,ST
West Bengal,Bankura,250,Raipur,ST
West Bengal,Bankura,251,Taldangra,General
West Bengal,Bankura,252,Bankura,General
West Bengal,Bankura,253,Barjora,General
West Bengal,Bankura,254,Onda,General
West Bengal,Bankura,255,"Bishnupur, Bankura",General
West Bengal,Bankura,256,Katulpur,SC
West Bengal,Bankura,257,Indas,SC
West Bengal,Bankura,258,Sonamukhi,SC
West Bengal,Purba Bardhaman,259,Khandaghosh,SC
West Bengal,Purba Bardhaman,260,Burdwan Dakshin,General
West Bengal,Purba Bardhaman,261,Raina,SC
West Bengal,Purba Bardhaman,262,Jamalpur,SC
West Bengal,Purba Bardhaman,263,Manteswar,General
West Bengal,Purba Bardhaman,264,Kalna,SC
West Bengal,Purba Bardhaman,265,Memari,General
West Bengal,Purba Bardhaman,266,Burdwan Uttar,SC
West Bengal,Purba Bardhaman,267,Bhatar,General
West Bengal,Purba Bardhaman,268,Purbasthali Dakshin,General
West Bengal,Purba Bardhaman,269,Purbasthali Uttar,General
West Bengal,Purba Bardhaman,270,Katwa,General
West Bengal,Purba Bardhaman,271,Ketugram,General
West Bengal,Purba Bardhaman,272,Mangalkot,General
West Bengal,Purba Bardhaman,273,Ausgram,SC 
West Bengal,Purba Bardhaman,274,Galsi,SC
West Bengal,Paschim Bardhaman,275,Pandaveswar,General
West Bengal,Paschim Bardhaman,276,Durgapur Purba,General
West Bengal,Paschim Bardhaman,277,Durgapur Paschim,General
West Bengal,Paschim Bardhaman,278,Raniganj,General
West Bengal,Paschim Bardhaman,279,Jamuria,General
West Bengal,Paschim Bardhaman,280,Asansol Dakshin,General
West Bengal,Paschim Bardhaman,281,Asansol Uttar,General
West Bengal,Paschim Bardhaman,282,Kulti,General
West Bengal,Paschim Bardhaman,283,Barabani,General
West Bengal,Birbhum,284,Dubrajpur,SC
West Bengal,Birbhum,285,Suri,General
West Bengal,Birbhum,286,Bolpur,General
West Bengal,Birbhum,287,Nanoor,SC
West Bengal,Birbhum,288,Labhpur,General
West Bengal,Birbhum,289,Sainthia,SC
West Bengal,Birbhum,290,Mayureswar,General
West Bengal,Birbhum,291,Rampurhat,General
West Bengal,Birbhum,292,Hansan,General
West Bengal,Birbhum,293,Nalhati,General
West Bengal,Birbhum,294,Murarai,General
